Menu Name,Cal,Price
ドリップ コーヒー Short,13,350
ドリップ コーヒー Tall,13,390
ドリップ コーヒー Grande,13,435
ドリップ コーヒー Venti,18,480
カフェ ミスト Short,87,405
カフェ ミスト Tall,87,445
カフェ ミスト Grande,87,490
カフェ ミスト Venti,127,535
コールドブリュー コーヒー Short,9,400
コールドブリュー コーヒー Tall,9,440
コールドブリュー コーヒー Grande,9,485
コールドブリュー コーヒー Venti,9,530
コーヒー プレス,17,400
スターバックス ラテ Short,148,449
スターバックス ラテ Tall,148,490
スターバックス ラテ Grande,148,535
スターバックス ラテ Venti,148,580
ソイ ラテ Short,139,449
ソイ ラテ Tall,139,490
ソイ ラテ Grande,139,535
ソイ ラテ Venti,208,580
アーモンドミルク ラテ Short,103,449
アーモンドミルク ラテ Tall,103,490
アーモンドミルク ラテ Grande,103,535
アーモンドミルク ラテ Venti,103,580
オーツミルク ラテ Short,142,449
オーツミルク ラテ Tall,142,490
オーツミルク ラテ Grande,142,535
オーツミルク ラテ Venti,213,580
カプチーノ Short,77,449
カプチーノ Tall,77,490
カプチーノ Grande,77,535
カプチーノ Venti,114,580
カフェ モカ Short,271,490
カフェ モカ Tall,271,530
カフェ モカ Grande,271,575
カフェ モカ Venti,399,620
ホワイト モカ Short,272,490
ホワイト モカ Tall,272,530
ホワイト モカ Grande,272,575
ホワイト モカ Venti,401,620
キャラメル マキアート Short,144,490
キャラメル マキアート Tall,144,530
キャラメル マキアート Grande,144,575
キャラメル マキアート Venti,211,620
カフェ アメリカーノ Short,5,405
カフェ アメリカーノ Tall,5,445
カフェ アメリカーノ Grande,5,490
カフェ アメリカーノ Venti,5,535
エスプレッソ Solo,5,425
エスプレッソ Doppio,11,385
ムース フォーム ラテ,109,385
スターバックス ブロンド ラテ with オーツミルク Short,142,449
スターバックス ブロンド ラテ with オーツミルク Tall,142,490
スターバックス ブロンド ラテ with オーツミルク Grande,142,535
スターバックス ブロンド ラテ with オーツミルク Venti,142,580
