ドリップ コーヒー Short,13,350,,,
ドリップ コーヒー Tall,13,390,,,
ドリップ コーヒー Grande,13,435,,,
ドリップ コーヒー Venti,18,480,,,
カフェ ミスト Short,87,405, +エスプレッソショット(￥55) +リストレットショット(￥55) +ディカフェに変更(￥55) , +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更 +アーモンドミルク*に変更 +オーツミルク*に変更 , +ホワイトモカフレーバーシロップ(￥55) +バニラフレーバーシロップ(￥55)
カフェ ミスト Tall,87,445, +エスプレッソショット(￥55) +リストレットショット(￥55) +ディカフェに変更(￥55) , +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更 +アーモンドミルク*に変更 +オーツミルク*に変更 , +ホワイトモカフレーバーシロップ(￥55) +バニラフレーバーシロップ(￥55)
カフェ ミスト Grande,87,490, +エスプレッソショット(￥55) +リストレットショット(￥55) +ディカフェに変更(￥55) , +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更 +アーモンドミルク*に変更 +オーツミルク*に変更 , +ホワイトモカフレーバーシロップ(￥55) +バニラフレーバーシロップ(￥55)
カフェ ミスト Venti,127,535, +エスプレッソショット(￥55) +リストレットショット(￥55) +ディカフェに変更(￥55) , +低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更 +アーモンドミルク*に変更 +オーツミルク*に変更 , +ホワイトモカフレーバーシロップ(￥55) +バニラフレーバーシロップ(￥55)
コールドブリュー コーヒー Short,9,400,,,
コールドブリュー コーヒー Tall,9,440,,,
コールドブリュー コーヒー Grande,9,485,,,
コールドブリュー コーヒー Venti,9,530,,,
コーヒー プレス,17,400,,,
